Time;Hour;0x00;QoS 1;BE 1;BE 2;BE 3;QoS 2
0;2020-04-20T11:49:04+02:00;0;0;0;0;0;0
1;2020-04-20T11:49:05+02:00;0;0;0;0;0;0
2;2020-04-20T11:49:06+02:00;0;0;0;0;0;0
3;2020-04-20T11:49:07+02:00;0;0;0;0;0;0
4;2020-04-20T11:49:08+02:00;0;0;0;0;0;0
5;2020-04-20T11:49:09+02:00;0;0;0;0;0;0
6;2020-04-20T11:49:10+02:00;0;0;0;0;0;0
7;2020-04-20T11:49:11+02:00;0;0;0;0;0;0
8;2020-04-20T11:49:12+02:00;0;0;0;0;0;0
9;2020-04-20T11:49:13+02:00;0;0;0;0;0;0
10;2020-04-20T11:49:14+02:00;0;0;0;0;0;0
11;2020-04-20T11:49:15+02:00;0;0;0;0;0;0
12;2020-04-20T11:49:16+02:00;0;0;0;0;0;0
13;2020-04-20T11:49:17+02:00;0;0;0;0;0;0
14;2020-04-20T11:49:18+02:00;0.209;0;0;0;0;0
15;2020-04-20T11:49:19+02:00;0.19;0;0;0;0;0
16;2020-04-20T11:49:20+02:00;0.184;0;0;0;0;0
17;2020-04-20T11:49:21+02:00;0.174;0;0;0;0;0
18;2020-04-20T11:49:22+02:00;0.185;0;0;0;0;0
19;2020-04-20T11:49:23+02:00;0.181;0;0;0;0;0
20;2020-04-20T11:49:24+02:00;0.178;0;0;0;0;0
21;2020-04-20T11:49:25+02:00;0.178;0;0;0;0;0
22;2020-04-20T11:49:26+02:00;0.12;0;0;0;0;0
23;2020-04-20T11:49:27+02:00;0.122;0;0;0;0;0
24;2020-04-20T11:49:28+02:00;0.143;0;0;0;0;0
25;2020-04-20T11:49:29+02:00;0.126;0;0;0;0;0
26;2020-04-20T11:49:30+02:00;0.122;0;0;0;0;0
27;2020-04-20T11:49:31+02:00;0.122;0;0;0;0;0
28;2020-04-20T11:49:32+02:00;0.114;0;0;0;0;0
29;2020-04-20T11:49:33+02:00;0.117;0;0;0;0;0
30;2020-04-20T11:49:34+02:00;0.117;0;0;0;0;0
31;2020-04-20T11:49:35+02:00;0.12;0;0;0;0;0
32;2020-04-20T11:49:36+02:00;0.112;0;0;0;0;0
33;2020-04-20T11:49:37+02:00;0.121;0;0;0;0;0
34;2020-04-20T11:49:38+02:00;0.12;0;0;0;0;0
35;2020-04-20T11:49:39+02:00;0.088;0;0;0;0;0
36;2020-04-20T11:49:40+02:00;0.11;0;0;0;0;0
37;2020-04-20T11:49:41+02:00;0.107;0;0;0;0;0
38;2020-04-20T11:49:42+02:00;0.098;0;0;0;0;0
39;2020-04-20T11:49:43+02:00;0.098;0;0;0;0;0
40;2020-04-20T11:49:44+02:00;0.093;0;0;0;0;0
41;2020-04-20T11:49:45+02:00;0.094;0;0;0;0;0
42;2020-04-20T11:49:46+02:00;0.112;0;0.024;0;0;0
43;2020-04-20T11:49:47+02:00;0.109;0;0.022;0;0;0
44;2020-04-20T11:49:48+02:00;0.08;0;0.023;0;0;0
45;2020-04-20T11:49:49+02:00;0.087;0;0.024;0;0;0
