Time;Hour;0x00;QoS 1;BE 1;BE 3;BE 4;BE 2;QoS 2
1;2020-11-08T21:28:11+01:00;0.001856;null;null;null;null;null;null
2;2020-11-08T21:28:12+01:00;0.001856;null;null;null;null;null;null
3;2020-11-08T21:28:13+01:00;0.001856;null;null;null;null;null;null
4;2020-11-08T21:28:14+01:00;0.001856;null;null;null;null;null;null
5;2020-11-08T21:28:15+01:00;0.001856;null;null;null;null;null;null
6;2020-11-08T21:28:16+01:00;0.001856;null;null;null;null;null;null
7;2020-11-08T21:28:17+01:00;0.001856;null;null;null;null;null;null
8;2020-11-08T21:28:18+01:00;0.001856;null;null;null;null;null;null
9;2020-11-08T21:28:19+01:00;0.001856;null;null;null;null;null;null
10;2020-11-08T21:28:20+01:00;0.001856;null;null;null;null;null;null
11;2020-11-08T21:28:21+01:00;0.001856;null;null;null;null;null;null
12;2020-11-08T21:28:22+01:00;0.001856;null;null;null;null;null;null
13;2020-11-08T21:28:23+01:00;0.001856;null;null;null;null;null;null
14;2020-11-08T21:28:24+01:00;0.001856;null;null;0;null;null;null
15;2020-11-08T21:28:25+01:00;0.001856;null;null;0;null;null;null
16;2020-11-08T21:28:26+01:00;0.00248;null;null;0;null;null;null
17;2020-11-08T21:28:27+01:00;0.001856;null;null;0;null;null;null
18;2020-11-08T21:28:28+01:00;0.002784;null;null;11.802592;null;null;null
19;2020-11-08T21:28:29+01:00;0.001856;null;null;15.375456;null;null;null
20;2020-11-08T21:28:30+01:00;0.002784;null;null;12.557056000000001;null;null;null
21;2020-11-08T21:28:31+01:00;0.003408;null;null;13.294176;null;null;null
22;2020-11-08T21:28:32+01:00;0.002784;null;null;12.565728;null;null;null
23;2020-11-08T21:28:33+01:00;0.002784;null;null;12.626432000000001;null;null;null
24;2020-11-08T21:28:34+01:00;0.002784;null;null;13.120736;null;null;null
25;2020-11-08T21:28:35+01:00;0.002784;null;null;13.57168;null;null;null
26;2020-11-08T21:28:36+01:00;0.003408;null;null;13.493632;null;null;null
27;2020-11-08T21:28:37+01:00;0.002784;null;null;12.071424;null;null;null
28;2020-11-08T21:28:38+01:00;0.003408;null;null;13.528319999999999;null;null;null
29;2020-11-08T21:28:39+01:00;0.002784;null;null;12.487680000000001;null;null;null
30;2020-11-08T21:28:40+01:00;0.003408;null;null;13.216128000000001;null;null;null
31;2020-11-08T21:28:41+01:00;0.003712;null;null;13.641056;null;null;null
32;2020-11-08T21:28:42+01:00;0.001856;null;null;11.221568;null;null;null
33;2020-11-08T21:28:43+01:00;0.002784;null;null;13.042688;null;null;null
34;2020-11-08T21:28:44+01:00;0.002784;null;null;13.48496;null;null;null
35;2020-11-08T21:28:45+01:00;0.003712;null;null;15.26272;null;null;null
36;2020-11-08T21:28:46+01:00;0.001856;null;null;9.296384;null;null;null
37;2020-11-08T21:28:47+01:00;0.002784;null;null;13.129408;null;null;null
