Time;Hour;0x00;0x01;0x02;0x03;QoS 1;BE 3;BE 4
1;2020-11-23T18:45:44+01:00;0.023;0;0;0;null;null;null
2;2020-11-23T18:45:45+01:00;0.023;0;0;0;null;null;null
3;2020-11-23T18:45:46+01:00;0.022;0;0;0;null;null;null
4;2020-11-23T18:45:47+01:00;0.024;0;0;0;null;null;null
5;2020-11-23T18:45:48+01:00;0;0;0;0;null;null;null
6;2020-11-23T18:45:49+01:00;0.023;0;0;0;null;null;null
7;2020-11-23T18:45:50+01:00;0.024;0;0;0;null;null;null
8;2020-11-23T18:45:51+01:00;0.022;0;0;0;null;null;null
9;2020-11-23T18:45:52+01:00;0.022;0;0;0;null;null;null
10;2020-11-23T18:45:53+01:00;0.021;0;0;0;null;null;null
11;2020-11-23T18:45:54+01:00;0.021;0;0;0;null;327.062;325.892
12;2020-11-23T18:45:55+01:00;19.032;0;0;0;null;518.582;518.238
13;2020-11-23T18:45:56+01:00;19.313;0;0;0;null;500.323;500.862
14;2020-11-23T18:45:57+01:00;14.324;0;0;0;null;519.378;519.19
15;2020-11-23T18:45:58+01:00;15.028;0;0;0;null;508.296;508.395
16;2020-11-23T18:45:59+01:00;15.141;0;0;0;null;511.803;512.686
17;2020-11-23T18:46:00+01:00;19.07;0;0;0;null;512.146;512.75
18;2020-11-23T18:46:01+01:00;24.471;0;0;0;null;null;508.788
19;2020-11-23T18:46:02+01:00;20.253;0;0;0;null;null;507.528
20;2020-11-23T18:46:03+01:00;0;0;0;0;null;null;507.528
21;2020-11-23T18:46:04+01:00;14.7;0;0;0;null;null;511.56
22;2020-11-23T18:46:05+01:00;0;0;0;0;null;null;525.606
23;2020-11-23T18:46:06+01:00;0;0;0;0;null;null;1061.033
24;2020-11-23T18:46:07+01:00;31.914;0;0;0;null;null;553.259
25;2020-11-23T18:46:08+01:00;0.643;0;0;0;null;null;548.161
26;2020-11-23T18:46:09+01:00;23.124;0;0;0;null;null;559.435
27;2020-11-23T18:46:10+01:00;25.323;0;0;0;null;null;552.498
